Institution,Site,Academic_Year,Term,ZIP_Code,Full_or_Part_Time,Headcount
SLCC,Main Campus,2020,2,84093,Full-Time,24
SLCC,Main Campus,2020,2,84093,Part-Time,160
SLCC,Main Campus,2020,2,84094,Full-Time,23
SLCC,Main Campus,2020,2,84094,Part-Time,194
SLCC,Main Campus,2020,2,84095,Full-Time,32
SLCC,Main Campus,2020,2,84095,Part-Time,279
SLCC,Main Campus,2020,2,84096,Full-Time,27
SLCC,Main Campus,2020,2,84096,Part-Time,327
SLCC,Main Campus,2020,2,84097,Full-Time,2
SLCC,Main Campus,2020,2,84097,Part-Time,19
SLCC,Main Campus,2020,2,84098,Full-Time,12
SLCC,Main Campus,2020,2,84098,Part-Time,59
SLCC,Main Campus,2020,2,84101,Full-Time,3
SLCC,Main Campus,2020,2,84101,Part-Time,46
SLCC,Main Campus,2020,2,84102,Full-Time,12
SLCC,Main Campus,2020,2,84102,Part-Time,121
SLCC,Main Campus,2020,2,84103,Full-Time,5
SLCC,Main Campus,2020,2,84103,Part-Time,97
SLCC,Main Campus,2020,2,84104,Full-Time,35
SLCC,Main Campus,2020,2,84104,Part-Time,215
SLCC,Main Campus,2020,2,84105,Full-Time,10
SLCC,Main Campus,2020,2,84105,Part-Time,113
SLCC,Main Campus,2020,2,84106,Full-Time,31
SLCC,Main Campus,2020,2,84106,Part-Time,250
SLCC,Main Campus,2020,2,84107,Full-Time,48
SLCC,Main Campus,2020,2,84107,Part-Time,345
SLCC,Main Campus,2020,2,84108,Full-Time,7
SLCC,Main Campus,2020,2,84108,Part-Time,96
SLCC,Main Campus,2020,2,84109,Full-Time,20
SLCC,Main Campus,2020,2,84109,Part-Time,160
SLCC,Main Campus,2020,2,84110,Part-Time,4
SLCC,Main Campus,2020,2,84111,Full-Time,9
SLCC,Main Campus,2020,2,84111,Part-Time,64
SLCC,Main Campus,2020,2,84113,Full-Time,1
SLCC,Main Campus,2020,2,84113,Part-Time,1
SLCC,Main Campus,2020,2,84115,Full-Time,22
